"filename", "language", "YAML", "Dart", "XML", "Swift", "comment", "blank", "total"
"c:\Users\gasan\.vscode\flutter projects\database_trial\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 2, 0, 0, 1, 3
"c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\CaretCircleRight.svg", "XML", 0, 0, 4, 0, 0, 1, 5
"c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\CaretRight.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\Folders.svg", "XML", 0, 0, 6, 0, 0, 1, 7
"c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\FoldersModalBottom.svg", "XML", 0, 0, 6, 0, 0, 1, 7
"c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\bell_svg.svg", "XML", 0, 0, 7, 0, 0, 1, 8
"c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\papkalar.svg", "XML", 0, 0, 7, 0, 0, 1, 8
"c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\papkalar2.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\data\evler_data\evler_data.dart", "Dart", 0, 63, 0, 0, 18, 11, 92
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\data\qovluqlar_data\qovluqlar_data.dart", "Dart", 0, 261, 0, 0, 50, 17, 328
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\api_client.dart", "Dart", 0, 2, 0, 0, 0, 2, 4
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\api_verif_client.dart", "Dart", 0, 70, 0, 0, 14, 4, 88
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\auth_api_data_provider.dart", "Dart", 0, -33, 0, 0, -3, -8, -44
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\qovluqlar_api_client.dart", "Dart", 0, 123, 0, 0, 23, 15, 161
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\getter\get.g.dart", "Dart", 0, -9, 0, 0, -13, -2, -24
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\qovluqlar\qovluqlar.dart", "Dart", 0, 19, 0, 0, 0, 5, 24
