"filename", "language", "YAML", "C++", "Swift", "Dart", "Gradle", "XML", "comment", "blank", "total"
"c:\Users\gasan\.vscode\flutter projects\database_trial\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\ArrowLeft.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\addIcon.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\refreshArrow.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\sifirlaFilter.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\successfulVerif.svg", "XML", 0, 0, 0, 0, 0, 25, 0, 1, 26
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\data\evler_data\evler_data.dart", "Dart", 0, 0, 0, 44, 0, 0, 22, 10, 76
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\data\filter_data\filter_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 78, 13, 91
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\data\qovluqlar_data\qovluqlar_data.dart", "Dart", 0, 0, 0, 137, 0, 0, -8, 4, 133
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\api_client.dart", "Dart", 0, 0, 0, 3, 0, 0, 36, 7, 46
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\api_verif_client.dart", "Dart", 0, 0, 0, -9, 0, 0, 1, 0, -8
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\filter_api\filter_api_client.dart", "Dart", 0, 0, 0, 97, 0, 0, 17, 26, 140
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\qovluqlar_api_client.dart", "Dart", 0, 0, 0, -6, 0, 0, 2, 0, -4
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\filter\filters.dart", "Dart", 0, 0, 0, 29, 0, 0, 10, 7, 46
