Date : 2022-11-01 00:49:06
Directory : c:\Users\gasan\.vscode\flutter projects\database_trial
Total : 133 files,  7704 codes, 1774 comments, 854 blanks, all 10332 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         65 |      6,097 |      1,518 |        570 |      8,185 |
| XML        |         34 |        596 |         49 |         38 |        683 |
| C++        |         16 |        516 |        107 |        170 |        793 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Gradle     |          3 |         89 |          5 |         23 |        117 |
| YAML       |          2 |         50 |         76 |         20 |        146 |
| Swift      |          4 |         50 |          3 |         12 |         65 |
| HTML       |          1 |         37 |         16 |          6 |         59 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        133 |      7,704 |      1,774 |        854 |     10,332 |
| android                                                                                                                                  |         12 |        162 |         52 |         36 |        250 |
| android\app                                                                                                                              |          8 |        119 |         52 |         24 |        195 |
| android\app\src                                                                                                                          |          7 |         65 |         47 |         11 |        123 |
| android\app\src\debug                                                                                                                    |          1 |          4 |          5 |          2 |         11 |
| android\app\src\main                                                                                                                     |          5 |         57 |         38 |          8 |        103 |
| android\app\src\main\res                                                                                                                 |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                  |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                                           |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                                   |         24 |        127 |          0 |         24 |        151 |
| assets\images                                                                                                                            |         24 |        127 |          0 |         24 |        151 |
| ios                                                                                                                                      |          7 |        222 |          2 |          9 |        233 |
