"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\MagnifyingGlass.svg", "XML", 0, 0, 4, 0, 1, 5
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\check_auth.dart", "Dart", 0, 18, 0, 0, 3, 21
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\data\evler_data\evler_data.dart", "Dart", 0, 46, 0, -6, 4, 44
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\data\qovluqlar_data\qovluqlar_data.dart", "Dart", 0, -52, 0, 52, 1, 1
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\api_client.dart", "Dart", 0, 14, 0, -35, -10, -31
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\filter_api\filter_api_client.dart", "Dart", 0, 41, 0, 33, -8, 66
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\filter\filters.dart", "Dart", 0, 10, 0, 0, 3, 13
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\filter\filters.g.dart", "Dart", 0, 11, 0, -9, -2, 0
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\marks\nisangah.dart", "Dart", 0, 11, 0, 0, 6, 17
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\marks\nisangah.g.dart", "Dart", 0, 9, 0, 4, 5, 18
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\metros\metro.dart", "Dart", 0, 10, 0, 0, 6, 16
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\metros\metro.g.dart", "Dart", 0, 9, 0, 4, 5, 18
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\seherler\seher.dart", "Dart", 0, 11, 0, 0, 6, 17
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\seherler\seher.g.dart", "Dart", 0, 9, 0, 4, 5, 18
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\settlements_regions\regions_settlements.dart", "Dart", 0, 16, 0, 0, 6, 22
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\settlements_regions\regions_settlements.g.dart", "Dart", 0, 15, 0, 4, 5, 24
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\settlmenets\settlemenets.dart", "Dart", 0, 14, 0, 0, 6, 20
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\settlmenets\settlemenets.g.dart", "Dart", 0, 13, 0, 4, 5, 22
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\main.dart", "Dart", 0, 74, 0, -33, 2, 43
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\axtaris_birlesme.dart", "Dart", 0, 0, 0, 8, 2, 10
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\axtaris_list_widget.dart", "Dart", 0, 1, 0, 3, 2, 6
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\list_tile\list_tile-entity.dart", "Dart", 0, 61, 0, 2, 7, 70
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\list_tile\list_tile_nisangah.dart", "Dart", 0, 61, 0, 2, 7, 70
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\list_tile\list_tile_seherler.dart", "Dart", 0, 169, 0, 21, 9, 199
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\list_tile\list_tile_settlements.dart", "Dart", 0, 120, 0, 2, 9, 131
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\list_tile\seher_baki_or_not.dart", "Dart", 0, 50, 0, 8, 5, 63
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\list_tile\textForSeherName.dart", "Dart", 0, 19, 0, 0, 4, 23
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\nisangahlar\toggle_buttons_lists.dart", "Dart", 0, 124, 0, 12, 9, 145
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bas_sehife\bas_sehife_birlesme.dart", "Dart", 0, 8, 0, 38, 1, 47
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bas_sehife\satilan_son_elanlar.dart", "Dart", 0, -28, 0, 0, 0, -28
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bottomNavigationBar\bottom_navigation_bar.dart", "Dart", 0, 5, 0, -84, 0, -79
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bottomNavigationBar\cupertino_tab_scaffold.dart", "Dart", 0, 46, 0, 28, 6, 80
