"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\check_auth.dart", "Dart", 0, 14, 0, 3, 17
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\data\evler_data\evler_data.dart", "Dart", 0, 16, 0, 3, 19
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\data\qovluqlar_data\qovluqlar_data.dart", "Dart", 0, 15, -46, 1, -30
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\filter_api\filter_api_client.dart", "Dart", 0, 1, 3, -1, 3
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\filter\filters.dart", "Dart", 0, 15, -10, -1, 4
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\filter\filters.g.dart", "Dart", 0, 16, 0, 0, 16
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\main.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\axtaris_list_widget.dart", "Dart", 0, -21, 25, 0, 4
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\chip_choices.dart", "Dart", 0, 53, 7, 8, 68
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\propertyTypeEntities\ev_villa_button_entity.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\propertyTypeEntities\kohne_tikili_button_entity.dart", "Dart", 0, 2, 0, -1, 1
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\propertyTypeEntities\menzil_button_entity.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\propertyTypeEntities\yeni_tikili_button_entity.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\range_slider_entity.dart", "Dart", 0, 6, -3, 0, 3
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\sahe_range_slider.dart", "Dart", 0, 55, 3, 5, 63
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\sertler_checkbox.dart\1-ci_olmasin.dart", "Dart", 0, 60, 1, 6, 67
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\sertler_checkbox.dart\en_ust_olmasin.dart", "Dart", 0, 60, 2, 6, 68
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\sertler_checkbox.dart\yalniz_ust.dart", "Dart", 0, 60, 1, 6, 67
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\swicth_cupertino.dart", "Dart", 0, 10, 0, 2, 12
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bas_sehife\satilan_son_elanlar.dart", "Dart", 0, 1, 5, 1, 7
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bottomNavigationBar\bottom_navigation_bar.dart", "Dart", 0, 23, 2, 1, 26
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bottomNavigationBar\cupertino_tab_scaffold.dart", "Dart", 0, -13, 0, 0, -13
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bottomNavigationBar\persistent_bottom_nav_bar.dart", "Dart", 0, 83, 1, 9, 93
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\deatils_screens\details_screen.dart", "Dart", 0, 5, 0, 1, 6
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\elanlarList\elanlar_list.dart", "Dart", 0, -4, 3, 2, 1
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\papkalar\papkalar_single.dart", "Dart", 0, 3, 0, 1, 4
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\secilmis_elanlar.dart", "Dart", 0, 3, 0, 1, 4
"c:\Users\gasan\.vscode\flutter projects\database_trial\pubspec.yaml", "YAML", 2, 0, 0, 0, 2
"Total", "-", 2, 469, -6, 53, 518
