Date : 2023-01-17 21:50:59
Directory : c:\Users\gasan\.vscode\flutter projects\database_trial
Total : 165 files,  9283 codes, 1879 comments, 1058 blanks, all 12220 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         96 |      7,667 |      1,623 |        773 |     10,063 |
| XML             |         35 |        600 |         49 |         39 |        688 |
| C++             |         16 |        516 |        107 |        170 |        793 |
| JSON            |          4 |        248 |          0 |          4 |        252 |
| Gradle          |          3 |         89 |          5 |         23 |        117 |
| YAML            |          2 |         55 |         76 |         20 |        151 |
| Swift           |          4 |         50 |          3 |         12 |         65 |
| HTML            |          1 |         37 |         16 |          6 |         59 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        165 |      9,283 |      1,879 |      1,058 |     12,220 |
| . (Files)                                                                                                                                |          3 |         65 |         76 |         27 |        168 |
| android                                                                                                                                  |         12 |        162 |         52 |         36 |        250 |
| android (Files)                                                                                                                          |          3 |         38 |          0 |         11 |         49 |
| android\app                                                                                                                              |          8 |        119 |         52 |         24 |        195 |
| android\app (Files)                                                                                                                      |          1 |         54 |          5 |         13 |         72 |
| android\app\src                                                                                                                          |          7 |         65 |         47 |         11 |        123 |
| android\app\src\debug                                                                                                                    |          1 |          4 |          5 |          2 |         11 |
| android\app\src\main                                                                                                                     |          5 |         57 |         38 |          8 |        103 |
| android\app\src\main (Files)                                                                                                             |          1 |         31 |          6 |          2 |         39 |
| android\app\src\main\res                                                                                                                 |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                  |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                                           |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                                   |         25 |        131 |          0 |         25 |        156 |
| assets\images                                                                                                                            |         25 |        131 |          0 |         25 |        156 |
| ios                                                                                                                                      |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                               |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                                       |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                                                                               |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                            |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                          |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                    |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                      |         95 |      7,653 |      1,613 |        766 |     10,032 |
| lib (Files)                                                                                                                              |          2 |        140 |         19 |         16 |        175 |
| lib\bloc                                                                                                                                 |          5 |         52 |         11 |         25 |         88 |
| lib\bloc\bloc                                                                                                                            |          3 |         31 |          8 |         16 |         55 |
| lib\bloc\cubit                                                                                                                           |          2 |         21 |          3 |          9 |         33 |
| lib\data                                                                                                                                 |          3 |        531 |        161 |         64 |        756 |
| lib\data\evler_data                                                                                                                      |          1 |        170 |         35 |         28 |        233 |
| lib\data\filter_data                                                                                                                     |          1 |          0 |         78 |         13 |         91 |
| lib\data\qovluqlar_data                                                                                                                  |          1 |        361 |         48 |         23 |        432 |
| lib\domain                                                                                                                               |         28 |        947 |        147 |        184 |      1,278 |
| lib\domain\api_clients                                                                                                                   |          4 |        463 |         99 |         55 |        617 |
| lib\domain\api_clients (Files)                                                                                                           |          3 |        324 |         46 |         37 |        407 |
| lib\domain\api_clients\filter_api                                                                                                        |          1 |        139 |         53 |         18 |        210 |
| lib\domain\entitites                                                                                                                     |         24 |        484 |         48 |        129 |        661 |
| lib\domain\entitites\announces_entity                                                                                                    |          2 |         25 |          4 |         10 |         39 |
| lib\domain\entitites\details                                                                                                             |          2 |        105 |          4 |         10 |        119 |
| lib\domain\entitites\filter                                                                                                              |          2 |        103 |          4 |         14 |        121 |
| lib\domain\entitites\getter                                                                                                              |          2 |         54 |          4 |         10 |         68 |
| lib\domain\entitites\image_getter                                                                                                        |          2 |         18 |          4 |         10 |         32 |
| lib\domain\entitites\marks                                                                                                               |          2 |         20 |          4 |         11 |         35 |
| lib\domain\entitites\metros                                                                                                              |          2 |         19 |          4 |         11 |         34 |
| lib\domain\entitites\object                                                                                                              |          2 |         25 |          4 |         11 |         40 |
| lib\domain\entitites\qovluqlar                                                                                                           |          2 |         37 |          4 |          9 |         50 |
| lib\domain\entitites\seherler                                                                                                            |          2 |         20 |          4 |         11 |         35 |
| lib\domain\entitites\settlements_regions                                                                                                 |          2 |         31 |          4 |         11 |         46 |
| lib\domain\entitites\settlmenets                                                                                                         |          2 |         27 |          4 |         11 |         42 |
| lib\google_maps                                                                                                                          |          2 |         20 |          0 |          6 |         26 |
| lib\ui                                                                                                                                   |         55 |      5,963 |      1,275 |        471 |      7,709 |
| lib\ui\axtaris                                                                                                                           |         27 |      2,323 |        687 |        220 |      3,230 |
| lib\ui\axtaris (Files)                                                                                                                   |          3 |        619 |        575 |         49 |      1,243 |
| lib\ui\axtaris\button_entity                                                                                                             |         17 |      1,100 |         65 |        121 |      1,286 |
| lib\ui\axtaris\button_entity (Files)                                                                                                     |         10 |        633 |         45 |         71 |        749 |
| lib\ui\axtaris\button_entity\propertyTypeEntities                                                                                        |          4 |        287 |         16 |         32 |        335 |
| lib\ui\axtaris\button_entity\sertler_checkbox.dart                                                                                       |          3 |        180 |          4 |         18 |        202 |
| lib\ui\axtaris\list_tile                                                                                                                 |          6 |        480 |         35 |         41 |        556 |
| lib\ui\axtaris\nisangahlar                                                                                                               |          1 |        124 |         12 |          9 |        145 |
| lib\ui\bas_sehife                                                                                                                        |          4 |        413 |        140 |         24 |        577 |
| lib\ui\bottomNavigationBar                                                                                                               |          3 |        574 |        161 |         47 |        782 |
| lib\ui\deatils_screens                                                                                                                   |          3 |        741 |         30 |         35 |        806 |
| lib\ui\deatils_screens (Files)                                                                                                           |          1 |        606 |         18 |         27 |        651 |
| lib\ui\deatils_screens\details_images                                                                                                    |          2 |        135 |         12 |          8 |        155 |
| lib\ui\evler                                                                                                                             |          4 |        330 |         60 |         30 |        420 |
| lib\ui\evler (Files)                                                                                                                     |          1 |         26 |          1 |          4 |         31 |
| lib\ui\evler\appbar                                                                                                                      |          1 |         51 |          1 |          4 |         56 |
| lib\ui\evler\elanlarList                                                                                                                 |          1 |        211 |         55 |         19 |        285 |
| lib\ui\evler\son elanar                                                                                                                  |          1 |         42 |          3 |          3 |         48 |
| lib\ui\navigation                                                                                                                        |          1 |         17 |          2 |          4 |         23 |
| lib\ui\profile                                                                                                                           |          5 |        606 |         28 |         26 |        660 |
| lib\ui\profile\daxil_ol                                                                                                                  |          3 |        491 |         23 |         15 |        529 |
| lib\ui\profile\reegister                                                                                                                 |          2 |        115 |          5 |         11 |        131 |
| lib\ui\secilmisler                                                                                                                       |          6 |        856 |        115 |         58 |      1,029 |
